Date ,series ,OPEN ,close ,HIGH ,LOW ,PREV. CLOSE ,Close to close,OC_Swing,ltp ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
22-Feb-24,EQ,559.95,578.85,583.2,552.9,557,21.85,18.9,580,573.16,583.2,298.2,"76,99,038","4,41,28,14,116.75","83,359"
21-Feb-24,EQ,548.75,557,564.65,546.15,548.65,8.35,8.25,556,556.29,564.65,298.2,"31,29,382","1,74,08,44,496.75","61,650"
20-Feb-24,EQ,543,548.65,551.2,542.8,542.45,6.2,5.65,548.95,547.73,551.2,298.2,"24,92,365","1,36,51,50,055.80","47,220"
19-Feb-24,EQ,538.5,542.45,544.6,535.1,537.55,4.9,3.95,542.8,541.63,544.6,298.2,"26,10,308","1,41,38,27,499.80","50,682"
16-Feb-24,EQ,529.75,537.55,540.9,525.7,527.6,9.95,7.8,537.5,535.41,540.9,298.2,"23,01,137","1,23,20,59,036.75","48,646"
15-Feb-24,EQ,528.85,527.6,531.5,524.95,527.7,-0.1,-1.25,526.2,528.33,538.55,298.2,"15,39,340","81,32,85,717.05","30,412"
14-Feb-24,EQ,518,527.7,529.4,515,523.6,4.1,9.7,528,521.93,538.55,298.2,"23,94,798","1,24,99,09,437.05","48,489"
13-Feb-24,EQ,530.4,523.6,532.2,515.4,530.4,-6.8,-6.8,522.75,522.9,538.55,298.2,"15,98,809","83,60,22,611.00","44,611"
12-Feb-24,EQ,535.55,530.4,538.55,526.35,532.95,-2.55,-5.15,530,532.94,538.55,298.2,"65,33,765","3,48,20,89,200.95","95,277"
09-Feb-24,EQ,525.6,532.95,537,523.45,525.1,7.85,7.35,533,531.43,537,298.2,"50,10,458","2,66,26,99,894.45","91,195"
08-Feb-24,EQ,527.45,525.1,530.5,523,524.75,0.35,-2.35,525.6,527.15,530.5,298.2,"27,20,940","1,43,43,31,722.55","51,638"
07-Feb-24,EQ,508.4,524.75,527.65,508.4,506.15,18.6,16.35,525,521.01,527.65,298.2,"61,35,635","3,19,67,36,699.45","99,176"
06-Feb-24,EQ,510,506.15,511.5,504.55,509.1,-2.95,-3.85,506.25,507.49,515.95,298.2,"10,32,953","52,42,10,396.90","34,699"
05-Feb-24,EQ,505,509.1,513.45,500.35,500,9.1,4.1,508.2,509.28,515.95,298.2,"48,45,339","2,46,76,19,676.30","77,898"
02-Feb-24,EQ,515.95,500,515.95,497.75,494.55,5.45,-15.95,501.25,504.56,515.95,286.1,"88,62,376","4,47,15,76,038.15","1,22,176"
01-Feb-24,EQ,495.45,494.55,496.5,486.95,492.65,1.9,-0.9,495,491.58,501.05,286.1,"17,03,943","83,76,24,607.85","43,824"
31-Jan-24,EQ,495.85,492.65,496.2,488,493.2,-0.55,-3.2,491.75,492.24,501.05,286.1,"29,11,432","1,43,31,33,944.55","52,751"
30-Jan-24,EQ,500,493.2,501.05,487.15,496.15,-2.95,-6.8,493.55,493.75,501.05,286.1,"36,76,704","1,81,53,56,385.80","58,744"
29-Jan-24,EQ,473.6,496.15,500,473.6,473.6,22.55,22.55,498.8,488.78,500,286.1,"85,03,267","4,15,61,87,151.40","1,19,380"
25-Jan-24,EQ,482.5,473.6,482.5,466,480.35,-6.75,-8.9,473.4,472.13,486.3,280.05,"18,45,603","87,13,66,325.70","40,001"
24-Jan-24,EQ,472.05,480.35,481.9,466.15,471.3,9.05,8.3,480.25,474.02,486.3,280.05,"27,54,783","1,30,58,32,765.35","64,812"
23-Jan-24,EQ,485,471.3,486,466.85,479.1,-7.8,-13.7,471,475.33,486.3,280.05,"40,50,796","1,92,54,56,539.15","64,373"
20-Jan-24,EQ,485,479.1,486.3,474.45,482.2,-3.1,-5.9,483,481.11,486.3,280.05,"22,56,239","1,08,55,08,126.90","41,077"
19-Jan-24,EQ,468,482.2,484.65,463.75,463.6,18.6,14.2,481.9,477.31,484.65,280.05,"43,33,124","2,06,82,28,962.25","61,201"
18-Jan-24,EQ,458.65,463.6,467.8,450.6,461.95,1.65,4.95,463.9,461.24,478.95,280.05,"34,11,840","1,57,36,78,787.85","79,811"
17-Jan-24,EQ,466,461.95,469.15,460,468.45,-6.5,-4.05,461.55,464.75,478.95,280.05,"27,75,046","1,28,97,10,465.30","55,950"
16-Jan-24,EQ,478.9,468.45,478.95,461.4,476.95,-8.5,-10.45,467.8,469.24,478.95,280.05,"28,95,440","1,35,86,61,492.25","70,892"
15-Jan-24,EQ,465,476.95,478.5,459.8,461.55,15.4,11.95,477.8,471.73,478.5,280.05,"44,58,232","2,10,30,87,504.55","77,386"
12-Jan-24,EQ,464,461.55,464,456.35,459.55,2,-2.45,461.55,459.69,467,280.05,"15,91,267","73,14,83,100.80","31,042"
11-Jan-24,EQ,459.95,459.55,463.85,458.2,458.4,1.15,-0.4,459.25,460.17,467,280.05,"14,29,325","65,77,39,452.45","32,869"
10-Jan-24,EQ,458.5,458.4,461,453.25,458.55,-0.15,-0.1,459.25,456.17,467,280.05,"15,19,799","69,32,83,279.30","29,418"
09-Jan-24,EQ,458.9,458.55,460.7,452.2,451.65,6.9,-0.35,458,457.59,467,280.05,"21,97,685","1,00,56,49,189.75","37,661"
08-Jan-24,EQ,461.45,451.65,461.5,450,456.05,-4.4,-9.8,453.35,453.63,467,280.05,"19,54,521","88,66,27,595.60","41,826"
05-Jan-24,EQ,467,456.05,467,453.9,462.8,-6.75,-10.95,456.4,456.74,467,280.05,"27,12,213","1,23,87,73,643.35","83,607"
04-Jan-24,EQ,454.85,462.8,464.65,451.1,451.45,11.35,7.95,462.4,457.63,464.65,280.05,"52,15,576","2,38,68,04,731.90","72,774"
03-Jan-24,EQ,439.25,451.45,455,438,438.2,13.25,12.2,451.75,450,455,280.05,"55,54,842","2,49,96,86,953.65","69,702"
02-Jan-24,EQ,437,438.2,440.4,429.25,436.1,2.1,1.2,438.2,435.3,450,280.05,"28,50,481","1,24,08,25,908.05","41,555"
01-Jan-24,EQ,440,436.1,441.4,434.45,438.35,-2.25,-3.9,435.5,436.4,450,280.05,"9,28,581","40,52,36,676.65","21,256"
29-Dec-23,EQ,434.2,438.35,439.5,431.5,433.45,4.9,4.15,438.15,436.23,450,280.05,"15,19,915","66,30,24,922.45","31,457"
28-Dec-23,EQ,435,433.45,442.4,431.1,436.85,-3.4,-1.55,433,434.46,450,280.05,"69,71,605","3,02,88,68,014.40","71,843"
27-Dec-23,EQ,437.65,436.85,442.2,434.45,436.55,0.3,-0.8,438.7,437.88,450,280.05,"18,15,608","79,50,25,034.50","38,321"
26-Dec-23,EQ,440.45,436.55,443.6,435,439.2,-2.65,-3.9,436,438.67,450,280.05,"12,07,519","52,96,99,268.55","31,764"
22-Dec-23,EQ,429,439.2,440.4,427.9,429.35,9.85,10.2,438,436.66,450,280.05,"26,28,120","1,14,75,95,896.95","52,478"
21-Dec-23,EQ,420.2,429.35,430.65,416.9,424.25,5.1,9.15,429.65,423.94,450,280.05,"20,58,616","87,27,25,276.00","41,812"
20-Dec-23,EQ,448,424.25,448,420,444.55,-20.3,-23.75,423.85,434.46,450,280.05,"24,26,020","1,05,40,05,767.90","43,044"
19-Dec-23,EQ,449.95,444.55,449.95,441.35,448.9,-4.35,-5.4,443.5,444.43,450,280.05,"21,77,697","96,78,31,239.95","33,338"
18-Dec-23,EQ,439.6,448.9,450,436.1,439.65,9.25,9.3,449,447.12,450,280.05,"43,28,624","1,93,54,35,847.65","72,268"
15-Dec-23,EQ,444.6,439.65,444.6,437.4,441.25,-1.6,-4.95,440.9,440.1,445.85,280.05,"26,42,024","1,16,27,56,562.30","30,533"
14-Dec-23,EQ,437.1,441.25,443.6,434.55,434.55,6.7,4.15,443.6,439.26,445.85,280.05,"16,93,787","74,40,15,433.50","31,212"
13-Dec-23,EQ,436.6,434.55,438.85,431.65,438.25,-3.7,-2.05,434.55,433.61,445.85,280.05,"22,79,696","98,84,98,141.15","26,257"
12-Dec-23,EQ,440.5,438.25,445.85,435.65,441,-2.75,-2.25,437.15,440.56,445.85,280.05,"23,75,740","1,04,66,59,062.60","35,192"
11-Dec-23,EQ,435.5,441,441.9,432.55,435.5,5.5,5.5,440.5,439.07,442.4,280.05,"17,29,172","75,92,32,385.90","34,785"
08-Dec-23,EQ,440.95,435.5,441.75,432.35,440.45,-4.95,-5.45,434.1,435.68,442.4,280.05,"16,06,867","70,00,79,525.30","41,620"
07-Dec-23,EQ,438.05,440.45,442.4,435.2,437.95,2.5,2.4,441,438.89,442.4,280.05,"16,80,971","73,77,59,337.65","30,760"
06-Dec-23,EQ,435.65,437.95,440.8,434.05,434.5,3.45,2.3,438.05,438.05,440.8,280.05,"18,20,312","79,73,90,671.95","38,736"
05-Dec-23,EQ,434,434.5,439.6,429.2,434,0.5,0.5,434.8,435.14,439.6,280.05,"22,27,045","96,90,65,819.20","31,772"
04-Dec-23,EQ,430,434,436.05,427.55,426.4,7.6,4,433.5,431.78,436.45,280.05,"30,28,240","1,30,75,30,320.75","55,688"
01-Dec-23,EQ,422,426.4,429.9,421.7,421.7,4.7,4.4,425.65,426.23,436.45,280.05,"35,87,510","1,52,91,09,176.10","50,436"
30-Nov-23,EQ,420.05,421.7,423.15,418,420.05,1.65,1.65,422.1,421.58,436.45,280.05,"39,44,054","1,66,27,29,361.00","54,041"
29-Nov-23,EQ,423.8,420.05,426,419,422.75,-2.7,-3.75,419.1,422,436.45,280.05,"15,13,282","63,86,08,400.20","29,488"
28-Nov-23,EQ,422,422.75,424.75,418.3,420.5,2.25,0.75,421.25,422.19,436.45,280.05,"24,02,488","1,01,43,10,088.05","47,959"
24-Nov-23,EQ,419,420.5,422.35,417.5,420.1,0.4,1.5,419.5,419.81,436.45,280.05,"24,40,352","1,02,44,80,127.25","34,822"
