Date ,series ,OPEN ,close ,HIGH ,LOW ,PREV. CLOSE ,CLOSE_TO_CLOSE,OC_SWING,HL_SWING,OH_SWING,ltp ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
22-Feb-24,EQ,159.55,162.1,163,156.6,158.65,3.45,2.55,6.4,5.5,162.25,160.24,167.8,49,"6,76,14,848","10,83,45,93,369.10","2,44,872"
21-Feb-24,EQ,162.3,158.65,167.8,157.6,161.05,-2.4,-3.65,10.2,4.1,158.7,162.6,167.8,49,"9,11,40,945","14,81,91,14,510.50","3,42,176"
20-Feb-24,EQ,159.7,161.05,163.8,158.7,157.5,3.55,1.35,5.1,3,161.55,160.95,163.8,49,"8,53,56,675","13,73,81,81,515.55","2,89,895"
19-Feb-24,EQ,157.45,157.5,160.45,155.6,156.7,0.8,0.05,4.85,3.1,157.6,158.08,160.45,49,"6,02,18,202","9,51,92,39,440.00","1,73,254"
16-Feb-24,EQ,156.9,156.7,160,155.35,154.85,1.85,-0.2,4.65,2.2,157,157.37,160,49,"6,12,09,337","9,63,25,16,340.25","2,20,755"
15-Feb-24,EQ,157,154.85,159.2,154,152.25,2.6,-2.15,5.2,0.8,155.5,156.3,159.2,49,"7,73,67,585","12,09,25,64,019.05","2,97,454"
14-Feb-24,EQ,152.95,152.25,153.75,150.1,154.75,-2.5,-0.7,3.65,3.55,152.3,152.46,158.8,49,"3,82,21,083","5,82,71,66,431.65","2,39,211"
13-Feb-24,EQ,154.35,154.75,157.9,149,153.8,0.95,0.4,8.9,7.8,154.9,153.86,158.8,49,"7,99,35,680","12,29,88,20,339.95","3,62,074"
12-Feb-24,EQ,151,153.8,158.8,149.5,149.45,4.35,2.8,9.3,4.5,153.55,154.9,158.8,49,"15,58,48,102","24,14,08,95,292.80","6,28,198"
09-Feb-24,EQ,146.9,149.45,151.4,142.25,144.1,5.35,2.55,9.15,5,149.1,148.02,151.4,47.55,"25,79,18,995","38,17,82,77,998.65","6,41,908"
08-Feb-24,EQ,142.5,144.1,147.5,139,140.4,3.7,1.6,8.5,1.9,142,144.07,147.5,47.55,"18,48,39,649","26,62,94,03,633.45","3,57,170"
07-Feb-24,EQ,141,140.4,142.9,139.65,139.95,0.45,-0.6,3.25,1.4,140.85,140.72,145.4,47.55,"7,50,83,259","10,56,60,59,322.75","1,50,273"
06-Feb-24,EQ,140.4,139.95,141.8,138.05,140.25,-0.3,-0.45,3.75,0.4,140,140.05,145.4,47.55,"4,67,82,951","6,55,20,46,798.20","1,26,005"
05-Feb-24,EQ,145,140.25,145.4,138.25,143.8,-3.55,-4.75,7.15,3.2,140.15,142.34,145.4,47.55,"5,41,89,688","7,71,31,02,059.45","1,64,200"
02-Feb-24,EQ,141.8,143.8,145,141.45,140.55,3.25,2,3.55,2.5,143.7,143.63,145,46.45,"7,86,66,454","11,29,88,72,871.45","1,88,193"
01-Feb-24,EQ,141,140.55,143.5,138.55,139.55,1,-0.45,4.95,2,140.3,140.78,143.5,46.45,"7,02,52,449","9,89,01,25,717.40","1,83,379"
31-Jan-24,EQ,140,139.55,142,138,137.2,2.35,-0.45,4,2.95,139.2,140.05,142,46.45,"8,98,33,027","12,58,14,58,866.35","2,26,655"
30-Jan-24,EQ,135.85,137.2,138.8,134.65,135.55,1.65,1.35,4.15,0.8,137.05,137.37,141.5,46.45,"5,76,12,020","7,91,41,70,908.10","2,07,698"
29-Jan-24,EQ,136.9,135.55,137.7,132.35,136.15,-0.6,-1.35,5.35,2.3,135.1,135.3,141.5,46.45,"5,58,71,017","7,55,91,91,303.00","2,29,672"
25-Jan-24,EQ,135.9,136.15,138.2,132.8,136.2,-0.05,0.25,5.4,5.45,135.4,135.31,141.5,44.35,"6,06,82,540","8,21,07,93,130.40","1,78,295"
24-Jan-24,EQ,131.45,136.2,136.9,129.8,130.1,6.1,4.75,7.1,1,135.2,133.67,141.5,44.35,"5,46,12,769","7,30,00,57,920.15","1,60,459"
23-Jan-24,EQ,136.3,130.1,137.3,127,133.1,-3,-6.2,10.3,1.55,130,134.37,141.5,44.35,"7,25,20,625","9,74,48,87,513.40","1,96,545"
